"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4723","Should register successfully with valid credentials","chrome","Mon Jun 23 17:28:33 UTC 2025","passed","Mon Jun 23 17:28:38 UTC 2025","Register flow","auth/register.spec.ts","",""
"","2803","User should login successfully","pixel5","Mon Jun 23 17:29:12 UTC 2025","passed","Mon Jun 23 17:29:15 UTC 2025","Login flow","auth/login.spec.ts","",""
"","2902","homepage loads and has correct title","webkit","Mon Jun 23 17:29:09 UTC 2025","passed","Mon Jun 23 17:29:12 UTC 2025","","homepage.spec.ts","",""
"","10487","@e2e @guest should allow guest to order a product successfully","iphone13","Mon Jun 23 17:29:32 UTC 2025","passed","Mon Jun 23 17:29:43 UTC 2025","E2E: Guest Checkout Flow","e2e/guest-checkout-flow.spec.ts","",""
"","3993","User should login successfully","chrome","Mon Jun 23 17:28:28 UTC 2025","passed","Mon Jun 23 17:28:32 UTC 2025","Login flow","auth/login.spec.ts","",""
"","2503","Should register successfully with valid credentials","pixel5","Mon Jun 23 17:29:19 UTC 2025","passed","Mon Jun 23 17:29:22 UTC 2025","Register flow","auth/register.spec.ts","",""
"","2518","homepage loads and has correct title","iphone13","Mon Jun 23 17:29:35 UTC 2025","passed","Mon Jun 23 17:29:37 UTC 2025","","homepage.spec.ts","",""
"","3326","Should register successfully with valid credentials","firefox","Mon Jun 23 17:28:49 UTC 2025","passed","Mon Jun 23 17:28:53 UTC 2025","Register flow","auth/register.spec.ts","",""
"","3249","User logins with invalid credentials and validates the error message","chrome","Mon Jun 23 17:28:33 UTC 2025","passed","Mon Jun 23 17:28:36 UTC 2025","Login flow","auth/login.spec.ts","",""
"","3175","User logins with invalid credentials and validates the error message","webkit","Mon Jun 23 17:29:02 UTC 2025","passed","Mon Jun 23 17:29:05 UTC 2025","Login flow","auth/login.spec.ts","",""
"","2055","User logins with invalid credentials and validates the error message","pixel5","Mon Jun 23 17:29:15 UTC 2025","passed","Mon Jun 23 17:29:17 UTC 2025","Login flow","auth/login.spec.ts","",""
"","2689","homepage loads and has correct title","chrome","Mon Jun 23 17:28:38 UTC 2025","passed","Mon Jun 23 17:28:41 UTC 2025","","homepage.spec.ts","",""
"","5065","User should login successfully","webkit","Mon Jun 23 17:28:56 UTC 2025","passed","Mon Jun 23 17:29:01 UTC 2025","Login flow","auth/login.spec.ts","",""
"","2135","User logins with invalid credentials and validates the error message","firefox","Mon Jun 23 17:28:45 UTC 2025","passed","Mon Jun 23 17:28:47 UTC 2025","Login flow","auth/login.spec.ts","",""
"","3544","User should logout and see the log in link","firefox","Mon Jun 23 17:28:47 UTC 2025","passed","Mon Jun 23 17:28:51 UTC 2025","Logout flow","auth/logout.spec.ts","",""
"","3282","Should register successfully with valid credentials","iphone13","Mon Jun 23 17:29:32 UTC 2025","passed","Mon Jun 23 17:29:35 UTC 2025","Register flow","auth/register.spec.ts","",""
"","1761","homepage loads and has correct title","pixel5","Mon Jun 23 17:29:22 UTC 2025","passed","Mon Jun 23 17:29:24 UTC 2025","","homepage.spec.ts","",""
"","12442","@e2e @guest should allow guest to order a product successfully","chrome","Mon Jun 23 17:28:36 UTC 2025","passed","Mon Jun 23 17:28:48 UTC 2025","E2E: Guest Checkout Flow","e2e/guest-checkout-flow.spec.ts","",""
"","4316","User should logout and see the log in link","iphone13","Mon Jun 23 17:29:28 UTC 2025","passed","Mon Jun 23 17:29:32 UTC 2025","Logout flow","auth/logout.spec.ts","",""
"","3448","User should login successfully","firefox","Mon Jun 23 17:28:41 UTC 2025","passed","Mon Jun 23 17:28:45 UTC 2025","Login flow","auth/login.spec.ts","",""
"","6995","@e2e @guest should allow guest to order a product successfully","pixel5","Mon Jun 23 17:29:20 UTC 2025","passed","Mon Jun 23 17:29:27 UTC 2025","E2E: Guest Checkout Flow","e2e/guest-checkout-flow.spec.ts","",""
"","1868","homepage loads and has correct title","firefox","Mon Jun 23 17:28:53 UTC 2025","passed","Mon Jun 23 17:28:55 UTC 2025","","homepage.spec.ts","",""
"","4271","User should login successfully","iphone13","Mon Jun 23 17:29:24 UTC 2025","passed","Mon Jun 23 17:29:29 UTC 2025","Login flow","auth/login.spec.ts","",""
"","4605","User should logout and see the log in link","chrome","Mon Jun 23 17:28:28 UTC 2025","passed","Mon Jun 23 17:28:33 UTC 2025","Logout flow","auth/logout.spec.ts","",""
"","8367","@e2e @guest should allow guest to order a product successfully","firefox","Mon Jun 23 17:28:51 UTC 2025","passed","Mon Jun 23 17:28:59 UTC 2025","E2E: Guest Checkout Flow","e2e/guest-checkout-flow.spec.ts","",""
"","2667","User logins with invalid credentials and validates the error message","iphone13","Mon Jun 23 17:29:29 UTC 2025","passed","Mon Jun 23 17:29:31 UTC 2025","Login flow","auth/login.spec.ts","",""
"","3536","Should register successfully with valid credentials","webkit","Mon Jun 23 17:29:05 UTC 2025","passed","Mon Jun 23 17:29:09 UTC 2025","Register flow","auth/register.spec.ts","",""
